categories,country,2020,2021,2022,2023,2024,2025,avg_price_per_cup
Arabica Production ,Brazil,49700,36400,39800,44900,48200,45400, 1.55
Arabica Production ,Colombia,13400,11800,10700,12760,12400,12900, 1.14
Arabica Production ,Ethiopia,7600,8150,7300,8600,8360,8360, 0.78
Arabica Production ,Honduras,6500,4800,5700,5000,5300,5300, 1.80
Arabica Production ,Peru,3369,4200,3475,4000,4250,4350, 2.50
Arabica Production ,Mexico,3000,3200,3000,3325,3350,3325, 2.55
Arabica Production ,Guatemala,3810,3410,3150,3300,3000,3300, 2.37
Arabica Production ,Nicaragua,2550,2718,2430,2200,2525,2525, 2.26
Arabica Production ,China,1900,1800,1800,1800,1900,1800, 3.56
Arabica Production ,Indonesia,1300,1280,1200,1350,1400,1400, 2.06
Arabica Production ,India,1650,1583,1667,1480,1400,1400, 1.83
Arabica Production ,Costa Rica,1472,1215,1100,1100,1100,1100, 2.55
Arabica Production ,Vietnam,950,1100,1000,1000,1150,1100, 1.99
Arabica Production ,Uganda,730,990,990,1000,1000,1000, 2.86
Arabica Production ,Papua New Guinea,650,725,825,930,825,915, 2.00
Robusta Production      ,Vietnam,28050,30480,27300,26500,27850,29000, 1.99
Robusta Production      ,Brazil,20200,21700,22800,21400,21700,21000, 1.55
Robusta Production      ,Indonesia,9400,9300,9500,6800,9500,9500, 2.06
Robusta Production      ,Uganda,5900,5060,5575,5400,5400,5400, 2.86
Robusta Production      ,India,3917,4117,4200,4580,4600,4800, 1.83
Robusta Production      ,Malaysia,2000,2000,2000,1330,1500,1500, 2.29
Robusta Production      ,Cote d'Ivoire,910,1110,1020,1325,1400,1400, 2.52
Robusta Production      ,Thailand,600,650,700,750,700,700, 1.81
Robusta Production      ,Tanzania,525,550,550,600,625,625, 1.76
Robusta Production      ,Mexico,530,540,545,545,550,545, 2.55
Production        ,Brazil,69900,58100,62600,66300,69900,66400, 1.55
Production        ,Vietnam,29000,31580,28300,27500,29000,30100, 1.99
Production        ,Colombia,13400,11800,10700,12760,12400,12900, 1.57
Production        ,Indonesia,10700,10580,10700,8150,10900,10900, 1.85
Production        ,Ethiopia,7600,8150,7300,8600,8360,8360, 0.78
Production        ,Uganda,6630,6050,6565,6400,6400,6400, 0.42
Production        ,India,5567,5700,5867,6060,6000,6200, 1.81
Production        ,Honduras,6500,4800,5700,5000,5300,5300, 0.86
Production        ,Peru,3369,4200,3475,4000,4250,4350, 2.61
Production        ,Mexico,3530,3740,3545,3870,3900,3870, 3.00
